epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,49,,0.15625,,2.290604829788208
0,78,0.12800000607967377,,2.2962188720703125,
1,99,,0.28125,,2.247384548187256
1,149,,0.28125,,2.1573638916015625
1,157,0.20479999482631683,,2.245103597640991,
2,199,,0.21875,,2.19960355758667
2,236,0.23119999468326569,,2.1807777881622314,
3,249,,0.3125,,2.088747024536133
3,299,,0.15625,,2.137331247329712
3,315,0.2556000053882599,,2.1154139041900635,
4,349,,0.3125,,2.041748285293579
4,394,0.2655999958515167,,2.0638396739959717,
5,399,,0.25,,2.1299140453338623
5,449,,0.28125,,1.8291385173797607
5,473,0.28999999165534973,,2.012261152267456,
